field_name,normalized_field_name,source_family,source_artifact_or_runner,source_dataset,grain,seasons_available,weeks_available,row_count,player_count,position_coverage,schema_status,factual_or_derived,source_policy_status,identity_dependency,missingness_risk,leakage_risk,licensing_risk,overlap_sources,accuracy_confidence,coverage_confidence,recommended_bucket,blocker_reason,review_only,model_use_allowed,training_allowed,source_truth_allowed
sack_fumbles_lost,sack_fumbles_lost,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
passing_air_yards,passing_air_yards,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
passing_yards_after_catch,passing_yards_after_catch,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
passing_first_downs,passing_first_downs,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
passing_epa,passing_epa,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,derived_or_external_total,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,BLOCKED,BLOCKED,BLOCKED_SOURCE_POLICY,"Quarantined, market/projection, imported fantasy total, or source-policy-blocked field.",true,false,false,false
passing_cpoe,passing_cpoe,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,derived_or_external_total,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,BLOCKED,BLOCKED,BLOCKED_SOURCE_POLICY,"Quarantined, market/projection, imported fantasy total, or source-policy-blocked field.",true,false,false,false
passing_2pt_conversions,passing_two_point_conversions,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
pacr,pacr,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,derived_or_external_total,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly,BLOCKED,BLOCKED,BLOCKED_SOURCE_POLICY,"Quarantined, market/projection, imported fantasy total, or source-policy-blocked field.",true,false,false,false
carries,rushing_attempts,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:pfr_advstats|NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
rushing_yards,rushing_yards,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:ff_opportunity|NFLVerse:play_by_play|NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
rushing_tds,rushing_touchdowns,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
rushing_fumbles,rushing_fumbles,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
rushing_fumbles_lost,rushing_fumbles_lost,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
rushing_first_downs,rushing_first_downs,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
rushing_epa,rushing_epa,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,derived_or_external_total,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,BLOCKED,BLOCKED,BLOCKED_SOURCE_POLICY,"Quarantined, market/projection, imported fantasy total, or source-policy-blocked field.",true,false,false,false
rushing_2pt_conversions,rushing_two_point_conversions,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
receptions,receptions,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:draft_picks|NFLVerse:ff_opportunity|NFLVerse:nextgen_stats|NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
targets,targets,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:nextgen_stats|NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
receiving_yards,receiving_yards,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:ff_opportunity|NFLVerse:play_by_play|NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
receiving_tds,receiving_touchdowns,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
receiving_fumbles,receiving_fumbles,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_stat,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,HIGH,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,"Factual/review-safe stat, but experiment/model use still requires separate as-of/leakage/missingness gate.",true,false,false,false
receiving_fumbles_lost,receiving_fumbles_lost,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
